item_name,quantity,rate_per_item,total_amount
AMRUTHA CUMIN SEEDS 1 LB,5,3.99,19.95
AMRUTHA CORIANDER POWDER 1 LB,5,2.69,13.45
MIF CHILLI POWDER 4 LB,1,12.99,12.99
MIF TURMERIC POWDER 4LB,1,9.99,9.99
SHAN BOMBAY BIRYANI (60GM X 6),24,11.49,275.76
SWETHA TF IDLI RICE 20 LB,2,19.98,39.96
D.D. COCONUT GRATED (FAMILY PACK) 1.135KG X 15 P,1,138.99,138.99
ROYAL BASMATI RICE 20LB,6,23.99,143.94
ROYAL CHEF SECRET BASMATI 40 LB,1,49.99,49.99
VERKA PANEER 4 X 5LB,1,102.99,102.99
VERKA YOGURT BUCKET 32 LBS,6,41.99,251.94
